200001;OILSYS;WYNNS;WYNNS OIL SYSTEM CLEANER;0.000;21.10;12;20
200002;ENGT;WYNNS;WYNNS ENGINE TENE UP TAQUETES Y VALVULAS;0.000;0.00;12;20
200003;ENGS;WYNNS;WYNNS ENGINE STOP LEAK WYNN'S;0.000;0.00;12;20
200004;FOR;WYNNS;WYNNS FOR OIL ADITIVO P/MOTOR;0.000;13.10;12;20
200005;FOR85;WYNNS;WYNNS FORMULA 85;0.000;0.00;12;20
200007;STOPS;WYNNS;WYNNS STOP SMOKE;0.000;0.00;12;20
200009;FORGAS;WYNNS;WYNNS FOR GAS;0.000;0.00;12;20
200010;INYEC;WYNNS;WYNNS INYECTOR CLEANER;0.000;0.00;12;20
200011;AUTRAN;WYNNS;WYNNS AUTOMATIC TRANSMISION CONDITIONER;0.000;0.00;24;20
200012;AUTSTOP;WYNNS;WYNNS AUTOMATIC TRANS. STOP LEAK;0.000;0.00;12;20
200013;HIGH;WYNNS;WYNNS HIGH PERFORMANCE WYNN'S;0.000;0.00;24;20
200014;RADFLUSH;WYNNS;WYNNS RADIADOR FLUSH;0.000;13.20;12;20
200015;RADSTOP;WYNNS;WYNNS RADIADOR STOP LEAK;0.000;0.00;12;20
200016;CARBWY;WYNNS;WYNNS CARBURATOR SPRAY CLEANER;0.000;0.00;12;20
200017;RUST;WYNNS;WYNNS RUST PENETRANT SPRAY;0.000;0.00;24;20
200018;SILWY;WYNNS;WYNNS SILICON LUBRICANTE;0.000;0.00;24;20
200019;LIGAWYN;WYNNS;WYNNS LIGA POTE PEQ 290CC;0.000;0.00;12;20
200020;ANTIRUST;WYNNS;WYNNS RADIADOR ANTI RUST;0.000;0.00;12;20
200022;OVER;WYNNS;WYNNS ABRILLANTADOR CAUCHOS;0.000;1740.00;12;20
210001;50066;TAMKO;TAMKO 20W50 LITRO;0.000;0.00;12;21
210002;50065;TAMKO;TAMKO 20W50 GARRAFA 5LTS;0.000;0.00;4;21
210003;50063;TAMKO;TAMKO 15W40 LITRO;0.000;0.00;12;21
220001;;SUPERKOTE;SUPERKOTE TRATAMIENTO PARA METAL 237CC;0.000;0.00;24;115
220002;MOTOR;MOTORKOTE;MOTORKOTE ADITIVO 0.236LTS;0.000;26375.00;24;114
220003;JECTRONIC;DITRES;JECTRONIC PLUS VERDE ADITIVO;0.000;2690.00;1;36
220004;AUTO;AUTOMEDICO;AV AUTOMEDICO PARA MOTOR;0.000;730.00;12;22
220005;SMOK;DITRES;JECTRONIC ULTRA 354ML CONCENTRADO;0.000;0.00;15;36
220006;SMOKG;AUTOMEDICO;AV SMOKELEES QUITA HUMO 0,4L;0.000;0.00;24;22
220007;INYECA;AUTOMEDICO;AV LIMPIADOR DE INYECTORES;0.000;730.00;24;22
220008;LUBRY;LUBRI;LUBRI LOY PARA MOTOR;0.000;0.00;24;82
220009;MOLY;AUTOMEDICO;AV LUBRY MOLY;0.000;0.00;24;22
220010;UNO;AUTOMEDICO;AV FORMULA 1 TAQUETES Y VALVULAS;0.000;530.00;24;22
220013;STOPLEAK;AUTOMEDICO;AV TRANS AUTO STOP LEAKS;0.000;0.00;24;22
220014;SERVM;AUTOMEDICO;AV SERVICIO MULT P/ENGRANAJES;0.000;24.00;24;22
220015;ANTIO;AUTOMEDICO;AV INYECTORES GAS OIL;2.000;730.00;24;22
220016;RADLIMP;AUTOMEDICO;AV RADIADOR LIMPIADOR;1.000;550.00;24;22
230001;STOPW;REVESCA;WHIZ ANTI HUMO OIL TREATMENT;0.000;0.00;24;23
230002;PISTON;REVESCA;WHIZ SUPER OIL (PISTON);0.000;0.00;24;23
230003;TAQUETES;REVESCA;WHIZ ENGINE TUNE-UP (TAQUETES);0.000;0.00;24;23
230004;CAJAS;REVESCA;WHIZ P/CAJAS AUT TRANS. CONDITIONER;0.000;0.00;24;23
240001;AGUA;;AGUA PARA BATERIAS CAJA 12 LITROS;54.000;15000.00;12;24
240002;ACIDO;;ACIDO LITRO PARA BATERIAS;0.000;0.00;12;24
250001;PLOMOA;DITRES;BORNES DE PLOMO AUTOMOTRIZ;0.000;850.00;1;25
250002;PLOMOC;DITRES;BORNES DE PLOMO CAMION;0.000;1100.00;1;25
260001;BL9Y;CHAMPION;BL9Y BUJIA CHAMPION CHEVETTE;0.000;8502.00;10;26
260002;BL13Y;CHAMPION;BL13Y BUJIA CHAMPION CHEVROLET;10.000;8502.00;10;26
260003;BL15Y;CHAMPION;BL15Y CHAMPION FORD/CHEVROLET;53.000;8502.00;10;26
260007;CJ8;CHAMPION;CJ8 BUJIA CHAMPION CORTA GRAMA;0.000;0.00;4;26
260009;D16;CHAMPION;D16 BUJIAS CHAMPION;0.000;0.00;10;26
260010;F10C;CHAMPION;F10C BUJIAS CHAMPION;0.000;0.00;4;26
260012;F14YC;CHAMPION;F14YC CHAMPION FORD/CHRYSLER;56.000;7799.00;10;26
260014;J12YC;CHAMPION;J12YC BUJIAS CHAMPION;0.000;5525.00;4;26
260015;J8C;CHAMPION;J8C CHAMPION CORTADORA GRAMA;0.000;0.00;4;26
260017;L87YC;CHAMPION;L87YC CHAMPION VW/RENAULT;1.000;0.00;4;26
260018;N12YC;CHAMPION;N12YC CHAMPION FORD/GM/CHRYSLER;91.000;10821.00;10;26
260019;N3C;CHAMPION;N3C CHAMPION MOTORES MARINOS;0.000;0.00;4;26
260020;N5C;CHAMPION;N5C CHAMPION MOTOS/MOTORES MARINOS;0.000;0.00;4;26
260021;N7YC;CHAMPION;N7YC BUJIA CHAMPION FORD;0.000;0.00;4;26
260022;N9YC;CHAMPION;N9YC BUJIA CHAMPION FORD/TOYOTA;12.000;10821.00;4;26
260023;S12YC;CHAMPION;S12YC BUJIA CHAMPION GM/FORD;30.000;9767.00;10;26
260024;S9YC;CHAMPION;S9YC CHAMPION RENAULT;0.000;0.00;10;26
260025;V12YC;CHAMPION;V12YC CHAMPION TOYOTA/IZUSU;0.000;0.00;4;26
260026;V15YC;CHAMPION;V15YC CHAMPION GM/FORD;0.000;0.00;6;26
260029;V9YC;HIDROCA;CALIBRADOR BUJIAS T71460;0.000;8910.00;1;38
260033;RC10YC4;CHAMPION;RC10YC4 CHAMPION LADA/SUBARU;0.000;0.00;4;26
260034;RC12ECC;CHAMPION;RC12ECC CHAMPION WRANGLER;0.000;0.00;4;26
260035;RC12LC4;CHAMPION;RC12LC4 CHAMPION DODGE RAM;1.000;533.00;4;26
260036;RC12LYC;CHAMPION;RC12LYC CHAMPION JEEP/WRANGLER;0.000;0.00;6;26
260037;RC12MC4;CHAMPION;RC12MC4 - E9202 CHAMPION HONDA/NISSAN;0.000;0.00;4;26
260038;RC12MCC4;CHAMPION;RC12MCC4 CHAMPION GRAND CHEROKEE;4.000;0.00;4;26
260039;RC12YC;CHAMPION;RC12YC E 9204 BUJIA CHAMPION COROLLA;0.000;0.00;6;26
260040;RC12YC5;CHAMPION;RE14MCC4 CHAMPION CHRYSLER/JEEP;0.000;0.00;4;26
260041;RC7YC;CHAMPION;RC7YC BUJIAS CHAMPION;1.000;844.00;4;26
260042;RC9YC;CHAMPION;RC9YC BUJIA CHAMPION SWIFT\RENAULT;0.000;0.00;4;26
260043;RC9YCN4;CHAMPION;RC9YCN4 BUJIAS CHAMPION;0.000;0.00;4;26
260046;RL87YC;CHAMPION;RA8HC CHAMPION WAGON R;0.000;0.00;4;26
260047;RN7YC;CHAMPION;RN7YC CHAMPION FIAT/RENAULT;0.000;0.00;4;26
260048;RN9YC;CHAMPION;RN9YC CHAMPION TOYOTA\HYUNDAI/HYUNDAI;0.000;0.00;4;26
260049;RN12YC;CHAMPION;RN12YC CHAMPION TOYOTA/IZUSU;0.000;282.00;4;26
260050;RN16YC5;CHAMPION;RN16YC5 BUJIAS CHAMPION;0.000;0.00;8;26
260051;RN12MC4;CHAMPION;7983 CHAMPION CHEVROLET;0.000;0.00;4;26
260052;RS12YC;CHAMPION;RS12YC CHAMPION FORD\CHRYSLER;1.000;199.00;6;26
260053;RS13LYC5;CHAMPION;RS13LYC5 CHAMPION CAVALIER;0.000;0.00;4;26
260056;RS9YC;CHAMPION;RS9YC BUJIA CHAMPION CHEVROLET;0.000;0.00;6;26
260057;RV9YC;CHAMPION;7940 CHAMPION FORD/CHEVROLET;0.000;0.00;4;26
260058;RV15YC4;CHAMPION;RV15YC4 CHAMPION FORD\CHRYSLER;0.000;0.00;4;26
260060;RC10PYP4;CHAMPION;RC10PYP4 CHAMPION PLATINO;0.000;0.00;6;26
260061;RC12PYP;CHAMPION;RC12PYP CHAMPION GRAND CHEROKEE/TOYOTA;0.000;0.00;6;26
260062;RE7PYP6;CHAMPION;7570 CHAMPION JEEP/CHRYSLER/DODGE;0.000;0.00;4;26
260063;RE14PLP5;CHAMPION;7407 CHAMPION FOCUS/ECO SPORT/F150;0.000;0.00;6;26
260064;RS12PLP;CHAMPION;7401 CHAMPION FORD/JEEP*DAEWOO;0.000;0.00;6;26
