0;770077;J297679421;MAYOR FILTROVEN,C.A.;0243-2360340;Sin Correo;AV. ARAGUA GALPON NRO.132. SEC. ANDRES ELOY BLANCO. MARACAY;MARACAY;0002;T;22
0;000002;J314419080;RH CARS, C.A.;0244-3521430;Sin Correo;CALLE COLOMBIA Nß19, SAN MATEO, EDO. ARAGUA;SAN MATEO;0006;F;6
0;000003;J305974861;GRANJA EL ZORRITO I C.A.;0244-6634212;Sin Correo;Asentamiento Campesino Colonial Guayabita Turmero Edo Aragua;TURMERO;0004;T;6
1;000004;J294831176;V.D.G. EL ABUELO,C.A;0;airesgoncalvesfarias@hotmail.com;AV. 5 DE JULIO ARTURO MICHELENA, MARACAY;MARACAY;;F;25
0;000005;J297558764;INVERSIONES VAYA Y VUELVA 1967, C.A.;0244-9895745;Sin Correo;CTRA.SAN FRANCISCO DE ASI-TOCORON S/Nß SEC.AGUA HEDIONDA VAL;;;F;25
0;000006;V15302304;JUAN MENDEZ;0416-3131743;Sin Correo;URB. FRANCISCO DE MIRANDA, CALLE VILLA DE CURA, CASA 15-10;VILLA DE CURA;;F;21
0;000007;J294804624;{*}TRANSPORTE EUROPA C.A;02432454553;Sin Correo;CALLE PICHINCHA NORTE N20 MARACAY EDO ARAGUA;MARACAY;;F;2
1;000008;J311303243;INVERSIONES DAMAR, C.A.;0246-4318897;Sin Correo;AV.BOLIVAR C/C PPAL.PUEBLO NUEVO EDIF.ARAGON LOCAL 1 SAN JUA;SAN JUAN DE LOS;;F;25
1;000009;J313784427;EL MUNDO DE LOS CAUCHOS Y RINES C.A.;02432631173;Sin Correo;CARRT NAC MARIARA-SECTOR VISTA ALEGRE EDO CARABOBO;MARIARA;;T;24
0;000010;J002357894;E/S UNION;3521552;Sin Correo;CALLE COLOMBIA N23, SAN MATEO EDO ARAGUA;SAN MATEO;0006;F;6
0;000011;V8141892;ANTONIO ESPINOZA;0241-6193010;Sin Correo;AV. PARAPARAL, URB. PARQUE MIDEV, MANZANA C, PARAPARAL, LOS;;;F;20
0;000013;J075098072;ASERRADERO TURMERO;0;Sin Correo;SECTOR VILLEGUITA DESPUES DE LA CANCHA TURMERO EDO. ARAGUA;TURMERO;;F;23
